Node,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119
1,0.0888048,0.0749258,0.0547705,0.0380413,0.0385824,0.0620461,0.106638,0.240424,0.337868,0.396501,0.370465,0.393554,0.496796,0.411151,0.322813,0.267584,0.250264,0.319747,0.515874,0.665289,0.676785,0.487695,0.341096,0.17788,0.143016,0.105481,0.0755528,0.0676333,0.0682495,0.0940594,0.182556,0.341204,0.510936,0.561017,0.606666,0.653973,0.76452,0.688001,0.557078,0.43357,0.420115,0.560613,0.795238,1.05677,1.03928,0.846398,0.534955,0.3089,0.0992465,0.072902,0.0568163,0.0381723,0.0385813,0.0616228,0.105354,0.218753,0.316467,0.412203,0.393078,0.404414,0.492307,0.409657,0.338987,0.304444,0.298204,0.389402,0.655747,0.798495,0.745487,0.503216,0.332588,0.181202,0.177681,0.114122,0.0819664,0.0704537,0.0697081,0.0937987,0.178086,0.270402,0.363804,0.475765,0.631535,0.75394,0.927828,0.812453,0.623133,0.466205,0.444491,0.582863,0.822337,1.07081,1.02613,0.829162,0.522739,0.305141,0.0888048,0.0749258,0.0547705,0.0380413,0.0385824,0.0620461,0.106638,0.240424,0.337868,0.396501,0.370465,0.393554,0.496796,0.411151,0.322813,0.267584,0.250264,0.319747,0.515874,0.665289,0.676785,0.487695,0.341096,0.17788
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.00249423,0.00210441,0.00153832,0.00106845,0.00108365,0.00174267,0.00299511,0.00675271,0.00948959,0.0111364,0.0104051,0.0110536,0.0139533,0.0115479,0.00906673,0.00751553,0.00702907,0.00898062,0.0144892,0.0186857,0.0190086,0.0136977,0.00958025,0.00499606,0.00401685,0.0029626,0.00212203,0.00189959,0.0019169,0.00264181,0.00512739,0.00958327,0.0143505,0.0157571,0.0170392,0.0183679,0.0214728,0.0193236,0.0156465,0.0121775,0.0117996,0.0157457,0.0223356,0.0296813,0.0291899,0.0237725,0.0150251,0.00867597,0.0027875,0.00204757,0.00159578,0.00107213,0.00108362,0.00173078,0.00295903,0.00614405,0.00888849,0.0115774,0.0110402,0.0113586,0.0138273,0.0115059,0.00952102,0.00855082,0.00837556,0.010937,0.0184177,0.0224271,0.0209382,0.0141337,0.00934129,0.00508935,0.00499047,0.00320532,0.00230216,0.00197881,0.00195787,0.00263449,0.00500185,0.00759468,0.010218,0.0133627,0.0177377,0.0211757,0.0260596,0.0228191,0.0175017,0.0130941,0.0124843,0.0163707,0.0230967,0.0300755,0.0288205,0.0232884,0.014682,0.00857038,0.00249423,0.00210441,0.00153832,0.00106845,0.00108365,0.00174267,0.00299511,0.00675271,0.00948959,0.0111364,0.0104051,0.0110536,0.0139533,0.0115479,0.00906673,0.00751553,0.00702907,0.00898062,0.0144892,0.0186857,0.0190086,0.0136977,0.00958025,0.00499606
4,0.0038945,0.00328584,0.00240194,0.00166829,0.00169201,0.00272101,0.00467658,0.0105437,0.0148171,0.0173884,0.0162466,0.0172591,0.0217868,0.0180309,0.0141568,0.0117348,0.0109752,0.0140224,0.0226234,0.029176,0.0296801,0.0213877,0.0149586,0.00780087,0.00627193,0.00462582,0.00331334,0.00296603,0.00299305,0.00412494,0.00800592,0.0149633,0.0224069,0.0246032,0.0266051,0.0286797,0.0335277,0.030172,0.0244304,0.019014,0.018424,0.0245855,0.0348749,0.0463444,0.0455773,0.0371184,0.0234603,0.0135467,0.00435242,0.00319709,0.00249165,0.00167403,0.00169197,0.00270244,0.00462024,0.00959334,0.0138785,0.018077,0.0172383,0.0177354,0.0215899,0.0179654,0.0148661,0.0133513,0.0130776,0.0170771,0.0287575,0.0350177,0.032693,0.0220684,0.0145855,0.00794653,0.00779214,0.00500479,0.00359461,0.00308972,0.00305702,0.0041135,0.0078099,0.0118584,0.0159545,0.0208645,0.0276957,0.0330638,0.0406895,0.0356298,0.0273272,0.0204452,0.019493,0.0255612,0.0360633,0.04696,0.0450004,0.0363626,0.0229245,0.0133818,0.0038945,0.00328584,0.00240194,0.00166829,0.00169201,0.00272101,0.00467658,0.0105437,0.0148171,0.0173884,0.0162466,0.0172591,0.0217868,0.0180309,0.0141568,0.0117348,0.0109752,0.0140224,0.0226234,0.029176,0.0296801,0.0213877,0.0149586,0.00780087
5,0.00656376,0.00553793,0.00404821,0.00281172,0.00285171,0.00458597,0.00788187,0.0177703,0.0249726,0.0293063,0.0273819,0.0290884,0.0367193,0.0303891,0.0238598,0.0197777,0.0184975,0.0236332,0.0381294,0.049173,0.0500227,0.0360466,0.0252112,0.0131475,0.0105707,0.00779632,0.00558428,0.00499893,0.00504447,0.00695214,0.0134931,0.0252191,0.0377644,0.0414661,0.04484,0.0483366,0.0565074,0.0508517,0.0411749,0.0320461,0.0310517,0.0414362,0.0587778,0.0781086,0.0768156,0.0625592,0.0395398,0.0228315,0.00733553,0.00538835,0.00419942,0.0028214,0.00285163,0.00455468,0.00778692,0.0161686,0.0233908,0.0304668,0.0290532,0.0298911,0.0363875,0.0302787,0.0250553,0.0225021,0.022041,0.0287816,0.0484677,0.0590186,0.0551006,0.0371939,0.0245823,0.013393,0.0131328,0.00843504,0.00605832,0.00520739,0.00515228,0.00693287,0.0131628,0.019986,0.0268896,0.0351649,0.0466782,0.0557254,0.0685779,0.0600503,0.0460571,0.0344583,0.0328533,0.0430807,0.0607808,0.079146,0.0758433,0.0612853,0.0386368,0.0225536,0.00656376,0.00553793,0.00404821,0.00281172,0.00285171,0.00458597,0.00788187,0.0177703,0.0249726,0.0293063,0.0273819,0.0290884,0.0367193,0.0303891,0.0238598,0.0197777,0.0184975,0.0236332,0.0381294,0.049173,0.0500227,0.0360466,0.0252112,0.0131475
6,0.0049447,0.00417191,0.00304965,0.00211816,0.00214829,0.00345476,0.00593768,0.013387,0.0188127,0.0220774,0.0206277,0.0219133,0.0276619,0.0228931,0.0179744,0.0148992,0.0139348,0.0178037,0.0287241,0.0370437,0.0376837,0.0271551,0.0189924,0.00990447,0.00796324,0.00587323,0.00420682,0.00376586,0.00380017,0.00523728,0.0101648,0.0189984,0.0284492,0.0312378,0.0337795,0.0364136,0.0425689,0.0383083,0.0310184,0.0241414,0.0233923,0.0312153,0.0442793,0.0588418,0.0578678,0.0471279,0.0297866,0.0171997,0.0055261,0.00405923,0.00316356,0.00212545,0.00214823,0.00343119,0.00586615,0.0121803,0.017621,0.0229517,0.0218868,0.022518,0.027412,0.02281,0.018875,0.0169516,0.0166042,0.0216821,0.0365124,0.0444607,0.0415091,0.0280194,0.0185187,0.0100894,0.00989339,0.0063544,0.00456394,0.0039229,0.00388139,0.00522276,0.00991594,0.0150561,0.0202568,0.0264909,0.0351642,0.0419798,0.051662,0.0452379,0.0346964,0.0259586,0.0247495,0.0324541,0.0457882,0.0596233,0.0571353,0.0461682,0.0291064,0.0169904,0.0049447,0.00417191,0.00304965,0.00211816,0.00214829,0.00345476,0.00593768,0.013387,0.0188127,0.0220774,0.0206277,0.0219133,0.0276619,0.0228931,0.0179744,0.0148992,0.0139348,0.0178037,0.0287241,0.0370437,0.0376837,0.0271551,0.0189924,0.00990447
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.00529477,0.00446727,0.00326556,0.00226812,0.00230038,0.00369935,0.00635804,0.0143347,0.0201446,0.0236404,0.0220881,0.0234647,0.0296202,0.0245139,0.0192469,0.015954,0.0149213,0.0190641,0.0307577,0.0396662,0.0403516,0.0290776,0.020337,0.0106057,0.00852701,0.00628903,0.00450465,0.00403247,0.00406921,0.00560806,0.0108844,0.0203434,0.0304633,0.0334493,0.036171,0.0389915,0.0455826,0.0410204,0.0332144,0.0258505,0.0250484,0.0334252,0.0474141,0.0630076,0.0619646,0.0504644,0.0318954,0.0184174,0.00591733,0.0043466,0.00338753,0.00227593,0.00230031,0.00367411,0.00628145,0.0130426,0.0188686,0.0245766,0.0234363,0.0241122,0.0293526,0.0244248,0.0202113,0.0181517,0.0177797,0.0232171,0.0390973,0.0476083,0.0444478,0.030003,0.0198297,0.0108037,0.0105938,0.00680427,0.00488705,0.00420063,0.00415617,0.00559252,0.010618,0.016122,0.0216909,0.0283663,0.0376537,0.0449519,0.0553195,0.0484405,0.0371528,0.0277963,0.0265017,0.0347518,0.0490299,0.0638444,0.0611803,0.0494368,0.0311671,0.0181933,0.00529477,0.00446727,0.00326556,0.00226812,0.00230038,0.00369935,0.00635804,0.0143347,0.0201446,0.0236404,0.0220881,0.0234647,0.0296202,0.0245139,0.0192469,0.015954,0.0149213,0.0190641,0.0307577,0.0396662,0.0403516,0.0290776,0.020337,0.0106057
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.00428832,0.00361812,0.00264483,0.00183699,0.00186312,0.00299616,0.00514949,0.0116099,0.0163154,0.0191468,0.0178895,0.0190044,0.0239899,0.0198542,0.0155884,0.0129214,0.0120851,0.0154404,0.0249112,0.0321264,0.0326815,0.0235505,0.0164713,0.00858972,0.00690617,0.0050936,0.00364839,0.00326597,0.00329572,0.00454206,0.0088155,0.0164765,0.0246728,0.0270912,0.0292955,0.0315799,0.0369182,0.0332231,0.0269009,0.0209368,0.0202871,0.0270716,0.0384015,0.051031,0.0501862,0.040872,0.0258326,0.0149166,0.00479255,0.00352039,0.00274362,0.00184331,0.00186306,0.00297572,0.00508745,0.0105635,0.015282,0.019905,0.0189815,0.0195289,0.0237732,0.0197821,0.0163695,0.0147014,0.0144001,0.0188039,0.0316656,0.0385588,0.0359991,0.0243,0.0160605,0.00875011,0.00858011,0.00551089,0.0039581,0.00340216,0.00336616,0.00452948,0.00859967,0.0130575,0.0175679,0.0229744,0.0304964,0.0364073,0.0448042,0.0392328,0.0300907,0.0225127,0.0214642,0.0281461,0.0397101,0.0517087,0.049551,0.0400397,0.0252427,0.014735,0.00428832,0.00361812,0.00264483,0.00183699,0.00186312,0.00299616,0.00514949,0.0116099,0.0163154,0.0191468,0.0178895,0.0190044,0.0239899,0.0198542,0.0155884,0.0129214,0.0120851,0.0154404,0.0249112,0.0321264,0.0326815,0.0235505,0.0164713,0.00858972
